title,skills
Software Engineer,"Java, Spring Boot, Microservices, REST API, Docker, Kubernetes, JUnit, Git"
Data Scientist,"Python, Machine Learning, Pandas, NumPy, Scikit-Learn, Statistics, Data Visualization, R"
Frontend Developer,"HTML, CSS, JavaScript, React.js, Vue.js, Tailwind CSS, Redux, Webpack, SASS"
Backend Developer,"Node.js, Express.js, MongoDB, PostgreSQL, Redis, Auth0, GraphQL, Python, Django"
Full Stack Developer,"MERN Stack, React, Node.js, Express, MongoDB, JavaScript, Deployment, Git, HTML, CSS"
Mobile App Developer,"Flutter, Dart, React Native, Android Studio, Swift, iOS, Firebase, Mobile UI Design"
DevOps Engineer,"Jenkins, Docker, Kubernetes, AWS, Terraform, CI/CD Pipelines, Ansible, Linux Shell Scripting"
Cloud Architect,"AWS, Azure, Google Cloud Platform, Serverless, IAM, Networking, Cloud Security, Microservices"
Cybersecurity Analyst,"Network Security, Ethical Hacking, Wireshark, Penetration Testing, Firewall, Linux, SIEM, Cryptography"
UI/UX Designer,"Figma, Adobe XD, User Research, Wireframing, Prototyping, Visual Design, Interaction Design"
Data Engineer,"SQL, Apache Spark, Hadoop, ETL Pipelines, Snowflake, Python, Big Data, Data Warehousing"
AI Engineer,"Neural Networks, PyTorch, TensorFlow, Deep Learning, Computer Vision, NLP, Reinforcement Learning"
Blockchain Developer,"Solidity, Ethereum, Smart Contracts, Web3.js, Cryptography, Hyperledger, Rust"
Quality Assurance Engineer,"Selenium, Automation Testing, Manual Testing, Jenkins, Bug Tracking, Regression Testing"
Product Manager,"Agile Methodology, Scrum, Product Roadmap, Market Research, User Stories, JIRA, Strategy"
Game Developer,"Unity, C#, C++, Unreal Engine, 3D Modeling, Physics Engines, Game Mechanics"
Embedded Systems Engineer,"C, C++, Microcontrollers, RTOS, IoT, Arduino, Raspberry Pi, Hardware Interfacing"
Database Administrator,"MySQL, PostgreSQL, Oracle, Database Optimization, Backup Recovery, Query Tuning, SQL"
Network Engineer,"Cisco, Routing Switching, TCP/IP, VPN, Network Troubleshooting, Load Balancing"
Salesforce Developer,"Apex, Visualforce, Salesforce CRM, Lightning Web Components, Integration, SOQL"
SEO Specialist,"Google Analytics, Keyword Research, Content Strategy, Backlinking, Technical SEO, SEM"
Technical Writer,"Documentation, Technical Guides, API Documentation, Markdown, Editing, Content Strategy"
Systems Administrator,"Linux Administration, Windows Server, Active Directory, Virtualization, System Monitoring"
BI Developer,"Power BI, Tableau, Data Modeling, DAX, SQL Server Reporting Services, Data Analysis"
Digital Marketing Manager,"Google Ads, Social Media Marketing, Email Marketing, PPC, Brand Strategy, Content Marketing"